Drug 1,Drug 2,Interaction Description
Hydrocortisone,Lopinavir,The metabolism of Lopinavir can be decreased when combined with Hydrocortisone.
Fluticasone propionate,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Fluticasone propionate.
Lidocaine,Darunavir,The serum concentration of Darunavir can be increased when it is combined with Lidocaine.
Loratadine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Loratadine.
Salicylic acid,Mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Salicylic acid.
Ibuprofen,Stiripentol,The metabolism of Stiripentol can be decreased when combined with Ibuprofen.
Dimenhydrinate,Stiripentol,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Stiripentol.
Loratadine,Ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Loratadine.
Lidocaine,Osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Lidocaine.
Phenobarbital,Salicylic acid,The metabolism of Salicylic acid can be increased when combined with Phenobarbital.
Cisapride,Salicylic acid,The serum concentration of Salicylic acid can be increased when it is combined with Cisapride.
Morniflumate,Salicylic acid,The risk or severity of adverse effects can be increased when Morniflumate is combined with Salicylic acid.
Vancomycin,Salicylic acid,The serum concentration of Salicylic acid can be increased when it is combined with Vancomycin.
Loratadine,Nicardipine,The metabolism of Nicardipine can be decreased when combined with Loratadine.
Acetaminophen,Sertraline,The metabolism of Sertraline can be decreased when combined with Acetaminophen.
Ibuprofen,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Ibuprofen.
Loratadine,Ropinirole,Loratadine may increase the sedative activities of Ropinirole.
Lidocaine,Chloroquine,The metabolism of Chloroquine can be decreased when combined with Lidocaine.
Nicotine,Cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Nicotine.
Loratadine,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Loratadine.
Ketoprofen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ketoprofen.
Cyclophosphamide,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Cyclophosphamide.
Enasidenib,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Enasidenib.
Loratadine,Saxagliptin,The serum concentration of Saxagliptin can be decreased when it is combined with Loratadine.
Salicylic acid,Amlodipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Amlodipine.
Secobarbital,Nitroglycerin,Secobarbital may increase the hypotensive activities of Nitroglycerin.
Desflurane,Nitroglycerin,The risk or severity of adverse effects can be increased when Desflurane is combined with Nitroglycerin.
Benazepril,Nitroglycerin,The risk or severity of adverse effects can be increased when Benazepril is combined with Nitroglycerin.
Paclitaxel,Minoxidil,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Minoxidil.
Brimonidine,Minoxidil,Brimonidine may increase the antihypertensive activities of Minoxidil.
Toloxatone,Minoxidil,Toloxatone may increase the hypotensive activities of Minoxidil.
Salicylic acid,Magnesium sulfate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Magnesium sulfate.
Dimenhydrinate,Pipotiazine,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Pipotiazine.
Benzocaine,Baclofen,The risk or severity of adverse effects can be increased when Benzocaine is combined with Baclofen.
Fluticasone propionate,Ezogabine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Ezogabine.
Dimenhydrinate,Dantrolene,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Dantrolene.
Benzocaine,Carisoprodol,The risk or severity of adverse effects can be increased when Benzocaine is combined with Carisoprodol.
Haloperidol,Dimenhydrinate,The risk or severity of adverse effects can be increased when Haloperidol is combined with Dimenhydrinate.
Pipamperone,Dimenhydrinate,The risk or severity of adverse effects can be increased when Pipamperone is combined with Dimenhydrinate.
Clorazepic acid,Dimenhydrinate,The risk or severity of adverse effects can be increased when Clorazepic acid is combined with Dimenhydrinate.
Trichloroethylene,Dimenhydrinate,The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Dimenhydrinate.
Zonisamide,Dimenhydrinate,The risk or severity of adverse effects can be increased when Zonisamide is combined with Dimenhydrinate.
Oxprenolol,Loratadine,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Loratadine.
Levobupivacaine,Loratadine,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Loratadine.
Oxycodone,Loratadine,The risk or severity of adverse effects can be increased when Oxycodone is combined with Loratadine.
Amisulpride,Loratadine,The risk or severity of adverse effects can be increased when Amisulpride is combined with Loratadine.
Oxybuprocaine,Loratadine,The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Loratadine.
Lidocaine,Procaine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Procaine.
Methyl salicylate,Dorzolamide,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Dorzolamide.
Benzocaine,Levomilnacipran,The risk or severity of adverse effects can be increased when Benzocaine is combined with Levomilnacipran.
Diclofenac,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Diclofenac.
Ergotamine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Ergotamine.
Fentanyl,Lidocaine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Lidocaine.
Pentazocine,Lidocaine,The risk or severity of adverse effects can be increased when Pentazocine is combined with Lidocaine.
Enflurane,Lidocaine,The risk or severity of adverse effects can be increased when Enflurane is combined with Lidocaine.
Salicylic acid,Cilnidipine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Cilnidipine.
Primidone,Acetaminophen,The metabolism of Acetaminophen can be increased when combined with Primidone.
Acenocoumarol,Acetaminophen,Acenocoumarol may increase the anticoagulant activities of Acetaminophen.
Triamterene,Caffeine,The metabolism of Caffeine can be decreased when combined with Triamterene.
Methadone,Caffeine,The metabolism of Caffeine can be decreased when combined with Methadone.
Palonosetron,Caffeine,The metabolism of Caffeine can be decreased when combined with Palonosetron.
Ulipristal,Caffeine,The metabolism of Caffeine can be decreased when combined with Ulipristal.
Carbamazepine,Famotidine,The metabolism of Famotidine can be increased when combined with Carbamazepine.
Pseudoephedrine,Famotidine,Pseudoephedrine may decrease the sedative activities of Famotidine.
Calcium carbonate,Elvitegravir,The serum concentration of Elvitegravir can be decreased when it is combined with Calcium carbonate.
Hydrocortisone,Glimepiride,The therapeutic efficacy of Glimepiride can be decreased when used in combination with Hydrocortisone.
Afatinib,Glycerin,The serum concentration of Glycerin can be increased when it is combined with Afatinib.
Moexipril,Methyl salicylate,Moexipril may decrease the antihypertensive activities of Methyl salicylate.
Methyl salicylate,Aminosalicylic acid,Methyl salicylate may increase the anticoagulant activities of Aminosalicylic acid.
Fluticasone propionate,Oxandrolone,Fluticasone propionate may increase the fluid retaining activities of Oxandrolone.
Cinoxacin,Calcium carbonate,Cinoxacin can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Methotrimeprazine,Calcium carbonate,Methotrimeprazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Trifluoperazine,Magnesium hydroxide,Trifluoperazine can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Mephentermine,Magnesium hydroxide,Mephentermine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.
Moricizine,Magnesium hydroxide,Moricizine can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Memantine,Sodium bicarbonate,The serum concentration of Sodium bicarbonate can be increased when it is combined with Memantine.
Fluvastatin,Capsaicin,The serum concentration of Capsaicin can be increased when it is combined with Fluvastatin.
Sodium bicarbonate,Cefpodoxime,The serum concentration of Cefpodoxime can be decreased when it is combined with Sodium bicarbonate.
Hydrocortisone,Sparfloxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Sparfloxacin.
Salicylic acid,Benzydamine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Benzydamine.
Dabrafenib,Cortisone acetate,The serum concentration of Cortisone acetate can be decreased when it is combined with Dabrafenib.
Suprofen,Cortisone acetate,The risk or severity of adverse effects can be increased when Suprofen is combined with Cortisone acetate.
Clonidine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Clonidine is combined with Fluticasone propionate.
Nalbuphine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Fluticasone propionate.
Oxymorphone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Fluticasone propionate.
Dihydrocodeine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Fluticasone propionate.
Quazepam,Fluticasone propionate,The risk or severity of adverse effects can be increased when Quazepam is combined with Fluticasone propionate.
